Pseudo;Contribution;Sujet;Consultation
Emmanuel;"Le travail d'un ""AP"" est extrêmement variable en fonction de son poste et/ou de son député.
Il y a des AP qui ouvrent le courrier, d'autres qui gèrent l'agenda, d'autres qui écrivent les amendements ou les lois, d'autres qui sont de vrais directeurs de cabinet.
Etant donné qu'il y a une enveloppe globale, on a une contrainte. Contrainte qui est dépassée par une partie des députés (100 à 200 apparemment) et qui puisent dans leur IRFM pour mieux rémunérer leurs AP.
La suppression de l'IRFM telle qu'elle est versée actuellement (passage aux frais réels) devra d'ailleurs prendre en compte cette situation.

Il me semble qu'il serait pertinent de faire une sorte de mix entre la convention collective et la grille des fonctionnaires.

C'est à dire créer une liste des métiers qui peuvent s'appliquer aux AP (secrétaires, rédacteurr.trices, chef.fe ou dir. de cab... et bientôt **comptables **!!) avec des tranches de salaires (minimaux et maximaux) complétés par les primes habituelles (ancienneté, famille, resto ...).

Cela pourrait donc permettre de supprimer l'enveloppe salariale et ne pas empiéter sur le domaine de l'IRFM.
Car un député n'aurait plus qu'à déterminer le métier de son AP et le niveau de salaire dans la fourchette et le nombre d'AP (avec un maximum à fixer)";"Grille de rémunération";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
Grégory;"Situation des fonctionnaires en détachement auprès d'un député

-	Possibilité pour ces agents d'intégrer l'Assemblée Nationale dans les deux ans suivant le détachement

-	Intégration dans le grade ou la grille indiciaire correspondant à la rémunération perçue pendant le détachement auprès du député.
";"Fonctionnaires en détachement";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
jrs272727;"Bonjour
Pourquoi ne pas utiliser les contrats CDI de chantiers pour les contrats des assistants parlementaires? La fin de leur contrat serait de fait, la fin du mandat du parlementaire?
cordialement
";"statut des collaborateurs de parlementaires";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
jrs272727;"Bonjour
depuis le temps qu'il existe des assistant parlementaires et des contrats de travail les concernant, constituer une grille de rémunération (comme on le fait dans le privé) prenant en compte les différentes expériences professionnelles de la personne, son niveau de diplôme etc.....";"rémunération des assistants parlementaires";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
Emmanuel;"Bonjour,

Je trouve dommage qu'il ne soit pas question d'intégrer de manière permanente une délégation de collaborateurs dans le GT qui les concerne plus que directement..";GT;"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
"Catherine T.";"Afin de clarifier le contenu des postes, les attentes, et mieux gerer les parcours professionnels sur le long terme, je proposerais la création de plusieurs niveaux de collaborateurs, chacun avec des competences obligatoires et un plancher de rémunération, par exemple :

- contributeur 1 = secretariat & administration - maitrise francais, pack office, anglais minimum operationnel, et 1.5 SMIC minimum
- contributeur 2 = assistant parlementaire : expertise juridique, anglais courant, autre langue européenne un plus (ajout d'une prime par langue au minimum), et par exemple minimum 2.5 SMIC
- contributeur 3 : chef de cabinet : expertise pointue dans un domaine, maitrise redactionnelle, capacité à remplacer le député dans certaines reunions, 2 langues europeennes ou 1 langue rare. Minimum 3.5 SMIC.

L'idée derrière cela serait de :
- permettre d'identifier clairement les competences necessaires et leur valorisation
- offrir des perspectives d'evolution de contributeur 1 à 2 puis 3 si formation ou progression certifiée par des modules sur place
- permettre de dimensionner l'indemnité pour rémunérer ses collaborateurs en nombre de SMIC (ex 9), à charge pour chaque député de construire son mix optimal
- permettre d'identifier des compétences (et ce dernier point vaut aussi pour les députés) qui pourraient faire l'objet d'une VAE en vue de la préparation de la carrière post assemblée nationale.
- sur la base de ces compétences, conclure des accords de partenariat avec des cabinets d'avocat, des directions conformité ou juridiques de grandes entreprises, des consultants en organisation, pour a) recruter certains de leurs bons stagiaires qu'ils ne pourraient recruter en phase douverture de poste b) leur proposer 6 mois avant une échéance électorale les profils de collaborateurs qui risquent de devoir entamer une reconversion
";"Valorisation des compétences assistants et députés";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
RgisJoly;"Les assistants parlementaires sont une catégorie tellement floue qu'il n'est pas possible au simple citoyen de discerner leur utilité. Serait-il envisageable d'établir et de rendre publiques des définitions de fonction et de poste, avec une certaine uniformité ?
Certains parlementaires semblent se passer aisément d'assistant(e) alors que d'autres les accumulent. Aucune règle ne semble intervenir en la matière. Il me semblerait juste que cela aussi soit précisé : au moins un(e) assistant(e) par parlementaire avec des tâches minimales bien établies, et un nombre maximum dont le plafond dépendrait des responsabilités exercées par le ou la parlementaire qui les emploierait.";"Définition de fonction";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
yannounet;"Pour éviter que le scandale des sénateurs qui se reversaient via l'urs Le reliquat de crédit collaborateur il faudrait :
Interdire de reverser le crédit collaborateur au groupe parlementaire.
Prévoir que les salaires des collaborateurs parlementaires des groupes soient pris en charge directement par l'assemblée nationale (a budget constant).
On prévoirait 5 collaborateurs par groupe quelque soit l'effectif ainsi que le droit d'avoir 1 collaborateur pour 10 députés élus.
Il faudra publier le montant de l'irfm Pour chaque député ainsi que le crédit collaborateur dépensé mois par mois en temps réel";"Les collabs";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
Yannounet;"Il faudrait une remise à plat complète du système de rémunération de l'assemblée.
Il faut mettre fin aux primes versées à tous les fonctionnaires lors des séances de nuit ou travail du week-end alors qu'ils ne sont effectivement pas présents pour travailler.
Le budget de l'assemblée c'est avant tout de l'argent public il convient de participer à l'effort national... et il faut cesser de dilapider l'argent que l'on a pas.
Rien ne justifie que le salaire moyen à l'assemblée soit de 8000 euros brut par mois. Idem pour les salaires des hauts fonctionnaires dont certains gagnent plus de 240.000 euros par an ... soit plus que le salaire du président de la république   ";"Le train de vie de l'assemblée ";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
Farid;"Bonjour Pour aller plus loin dans la moralisation de la vie politique je pense qu'en plus d'interdire de prendre un membre de la famille du député comme assistant, il faudrait aussi interdire de prendre une personne déjà salariée dans une entreprise du député. Par exemple comment expliquer que les assistants parlementaires de M.Ruffin sont déjà salariés de son journal Fakir? De plus niveau conflit d'intérêt il est étonnant qu'un député ait le droit d'être lui-même propriétaire d'un organe de presse partisan.";"Moralisation: Assistants parlementaires";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
Farid;"Bonjour
Sur le site nosdeputes.fr nous pouvons enfin suivre le niveau de présence de nos députés ainsi que leurs participations.
Je déplore que certains ne vont presque jamais à l'assemblée nationale et ne participent quasiment pas aux débats ni aux commissions.
Je pense qu'il serait judicieux,comme dans le privé,de leur infliger des retenues sur salaire selon leur niveau d'absentéisme.
Surtout qu'on les voit souvent sur les plateaux TV ou dans des manifestations syndicales alors qu'ils devraient siéger.

Cordialement";"Absentéisme assemblée nationale";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
